1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
196,"Salad dressing, russian dressing",355.0,0.69,2.39,0.17,5.93,14.8,0.0,1130.0
197,"Salad dressing, russian dressing, low calorie",141.0,0.5,0.6,0.0,0.9,2.3,6.0,868.0
198,"Salad dressing, sesame seed dressing, regular",1850.0,3.1,6.2,0.0,11.9,25.1,0.0,1000.0
199,"Salad dressing, spray-style dressing, assorted flavors",690.0,0.16,1.64,0.139,0.0,0.0,0.0,1100.0
200,"Salad dressing, sweet and sour",15.0,0.1,0.0,0.0,0.0,0.0,0.0,208.0
201,"Salad dressing, thousand island dressing, fat-free",132.0,0.55,0.198,0.0,0.342,0.63,5.0,788.0
202,"Salad dressing, thousand island dressing, reduced fat",195.0,0.83,0.746,0.0,6.47,2.69,11.0,955.0
203,"Salad dressing, thousand island, commercial, regular",1580.0,1.09,5.09,0.0,7.88,18.2,26.0,962.0
204,"Sandwich spread, with chopped pickle, regular, unspecified oils",1630.0,0.9,5.1,0.0,7.4,20.0,76.0,1000.0
205,"Shortening bread, soybean (hydrogenated) and cottonseed",884.0,0.0,22.0,0.0,33.0,40.6,0.0,0.0
206,"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",884.0,0.0,27.2,0.0,54.2,14.1,0.0,0.0
207,"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",3700.0,0.0,91.3,0.0,2.2,1.0,0.0,0.0
208,"Shortening frying (heavy duty), beef tallow and cottonseed",3770.0,0.0,44.9,0.0,38.5,8.8,100.0,0.0
209,"Shortening frying (heavy duty), palm (hydrogenated)",3700.0,0.0,47.5,0.0,40.6,7.5,0.0,0.0
210,"Shortening frying (heavy duty), soybean (hydrogenated), linoleic (less than 1%)",3700.0,0.0,21.1,0.0,73.7,0.4,0.0,0.0
211,Shortening household soybean (hydrogenated) and palm,3700.0,0.0,25.0,0.0,42.5,26.6,0.0,0.0
212,"Shortening industrial, lard and vegetable oil",3770.0,0.0,35.7,0.0,40.7,19.2,56.0,0.0
213,"Shortening industrial, soybean (hydrogenated) and cottonseed",884.0,0.0,25.6,0.0,58.0,12.0,0.0,0.0
214,"Shortening, confectionery, fractionated palm",3700.0,0.0,65.5,0.0,29.6,0.5,0.0,0.0
215,"Shortening, household, lard and vegetable oil",900.0,0.0,40.3,0.0,44.4,10.9,56.0,0.0
216,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",884.0,0.0,25.0,0.0,44.5,26.1,0.0,0.0
217,"Shortening, industrial, soy (partially hydrogenated ) and corn for frying",884.0,0.0,17.4,13.8,40.8,36.0,0.0,0.0
218,"Shortening, industrial, soy (partially hydrogenated ) for baking and confections",3700.0,0.0,18.8,42.9,71.0,5.4,0.0,0.0
219,"Shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",3700.0,0.0,18.4,12.6,38.9,38.0,0.0,0.0
220,"Shortening, multipurpose, soybean (hydrogenated) and palm (hydrogenated)",3700.0,0.0,30.4,0.0,51.0,14.2,0.0,0.0
221,"Shortening, special purpose for baking, soybean (hydrogenated) palm and cottonseed",3700.0,0.0,28.8,0.0,29.6,37.2,0.0,0.0
222,"Shortening, special purpose for cakes and frostings, soybean (hydrogenated)",3700.0,0.0,20.0,0.0,36.6,38.0,0.0,0.0
223,"Shortening, vegetable, household, composite",3700.0,0.0,25.0,13.2,41.2,28.1,0.0,4.0
224,"Vegetable oil, palm kernel",862.0,0.0,81.5,0.0,11.4,1.6,0.0,0.0
225,"Vegetable oil-butter spread, reduced calorie",465.0,0.0,17.9,0.0,20.8,11.2,54.0,581.0
